timestamp_utc,pair,direction,entry_price,exit_price,quantity,pnl_usd,balance_change_usd,balance_after_usd,regime,engine,hold_hours,exit_reason
2025-09-14T15:00:00.000Z,ETHUSDT,long,4556.61,4599.85,4.681437,189.5,189.5,115159.85,TREND_UP,trend,57,exit
2025-09-15T01:00:00.000Z,BTCUSDT,long,115037.3,115023.4,0.257168,-21.32,-21.32,115138.53,TREND_UP,trend,74,exit
2025-09-24T15:00:00.000Z,BTCUSDT,short,114335.8,113662.6,0.412964,249.84,249.84,115388.37,TREND_DOWN,trend,62,exit
2025-09-28T23:00:00.000Z,ETHUSDT,short,4286.02,4130.47,5.189912,794.43,794.43,116182.8,TREND_DOWN,trend,164,exit
2025-09-30T14:00:00.000Z,ETHUSDT,long,4224.86,4123.86,4.845222,-501.35,-501.35,115681.45,TREND_UP,trend,17,stop
2025-10-07T15:00:00.000Z,BTCUSDT,long,113168.1,122684.1,0.285295,2693.86,2693.86,118375.31,TREND_UP,trend,193,exit
2025-10-12T15:00:00.000Z,ETHUSDT,short,4326.26,3973.35,3.803674,1333.29,1333.29,119708.6,TREND_DOWN,trend,78,exit
2025-10-18T07:00:00.000Z,ETHUSDT,short,3754.78,3910.97,3.17207,-502.88,-502.88,119205.71,TREND_DOWN,trend,23,stop
2025-10-19T15:00:00.000Z,BTCUSDT,short,106699.1,108360.9,0.140559,-242.72,-242.72,118962.99,TREND_DOWN,trend,56,exit
2025-10-28T05:00:00.000Z,ETHUSDT,long,4158.55,4066.77,5.356423,-504.68,-504.68,118458.31,TREND_UP,trend,30,stop
2025-10-28T21:00:00.000Z,BTCUSDT,long,113235.1,112744.6,0.32661,-182.3,-182.3,118276.01,TREND_UP,trend,57,exit
2025-10-30T07:00:00.000Z,BTCUSDT,short,108503.7,111365.72,0.136525,-399.86,-399.86,117876.15,TREND_DOWN,trend,2,stop
2025-11-01T16:00:00.000Z,ETHUSDT,short,3764.65,3906.06,3.449049,-495.81,-495.81,117380.34,TREND_DOWN,trend,50,stop
2025-11-07T19:00:00.000Z,ETHUSDT,short,3587.38,3424.84,3.434244,551.15,551.15,117931.49,TREND_DOWN,trend,99,exit
